Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
12-02-2013,1409.05,1415,1401.85,1410,1410.05,1112751,15689.31
13-02-2013,1409.8,1441.65,1405.1,1433.5,1435.4,1911333,27434.48
14-02-2013,1430.1,1455.8,1429,1444.65,1447.7,1473479,21349.21
15-02-2013,1444,1451.8,1430.65,1440,1442.15,910395,13148.17
18-02-2013,1440.1,1441.9,1420,1421.45,1425.35,476043,6801.39
19-02-2013,1421.6,1448.9,1412.7,1445.3,1443.55,372147,5327.04
20-02-2013,1441.5,1457,1441.5,1450,1452.8,1130759,16426.87
21-02-2013,1440.7,1456.85,1440.7,1450.85,1451.05,1924573,27922.97
22-02-2013,1450,1464.05,1442.3,1456.5,1455.1,655347,9534.56
25-02-2013,1453,1475,1451.5,1475,1473.7,865015,12711.04
26-02-2013,1467,1499.95,1466,1499.5,1496.4,1426835,21217.44
27-02-2013,1495.25,1503.05,1477.3,1483,1483.2,1278341,18985.61
28-02-2013,1486.25,1525,1485.25,1520.7,1517,2299712,34678.98
01-03-2013,1515.1,1516,1498,1498.1,1501.85,1268663,19061.94
04-03-2013,1491,1519.9,1491,1519.9,1513.2,1568038,23632.34
05-03-2013,1517,1543,1508.6,1539.85,1540.15,1720027,26384.69
06-03-2013,1536.15,1565.5,1536.15,1565.5,1561.2,1149755,17836.16
07-03-2013,1561,1597.6,1559.35,1589.7,1589.9,1954351,30943.73
08-03-2013,1590,1595.65,1574.9,1582.35,1583.15,2170751,34358.28
11-03-2013,1575,1589.55,1556.65,1560.5,1566.2,1110665,17435.73
12-03-2013,1558,1567.95,1548,1564.1,1560.5,904726,14066.65
13-03-2013,1556.05,1558.7,1548,1552.9,1551.7,897248,13920.41
14-03-2013,1557,1577,1543.8,1567.65,1567.7,1525609,23740.11
15-03-2013,1572,1580.4,1560.6,1567.25,1570.25,2106199,33096.16
18-03-2013,1559.85,1573.65,1554.4,1568,1566.95,847494,13262.7
19-03-2013,1564.5,1564.5,1540.45,1541.9,1546.75,1869955,28955.61
20-03-2013,1540,1572.65,1539.95,1562,1557.65,2084068,32469.48
21-03-2013,1563,1574.4,1553.7,1566.8,1559.95,832302,13031.09
22-03-2013,1561.4,1562.1,1532,1534,1542.15,1357228,20995.36
25-03-2013,1548.5,1552,1528.4,1547,1543.35,928658,14319.17
26-03-2013,1540.1,1570,1536.15,1559,1556.35,890768,13875.22
28-03-2013,1556,1583.4,1541.65,1571.95,1575.75,1532831,23937.88
01-04-2013,1565,1573.7,1551.25,1552.1,1556.85,484406,7564.6
02-04-2013,1556,1571.2,1541.25,1568,1567.35,565166,8802.05
03-04-2013,1570,1575,1531,1545.8,1543.4,479966,7465.44
04-04-2013,1540.1,1540.1,1501,1508.95,1507.8,563169,8518.25
05-04-2013,1505,1509.35,1484.1,1493.25,1498.35,932624,13959.24
08-04-2013,1498.9,1498.9,1475,1481.05,1480.75,448208,6640.6
09-04-2013,1480,1513,1477.6,1500,1497.4,836177,12530.73
10-04-2013,1509.9,1538.9,1501,1536.75,1530.45,1023142,15534.77
11-04-2013,1540,1550.1,1520.7,1537.75,1536.9,1122329,17252.57
12-04-2013,1481.9,1524.5,1478.35,1512,1511.75,2516030,37863.1
15-04-2013,1513.5,1514,1448.35,1473,1472.45,2695748,39730.67
16-04-2013,1470,1493.45,1457.95,1480,1483.15,1535791,22622.94
17-04-2013,1495,1499,1431,1459.85,1456.65,2639502,38557.92
18-04-2013,1487.95,1494.9,1427.45,1443.1,1452.75,4277229,62075.41
22-04-2013,1446,1459.8,1425,1425,1425.3,1481242,21242
23-04-2013,1424.45,1448,1424,1428.95,1430.55,1692085,24251.21
25-04-2013,1430.55,1430.55,1398.65,1401,1402.3,3964597,55795.56
26-04-2013,1393,1393.45,1365.1,1366.95,1369.35,2377038,32672.58
29-04-2013,1365,1384.7,1365,1370.7,1370.75,1984458,27273.21
30-04-2013,1368,1382,1365,1376.35,1378.4,2010285,27604.27
02-05-2013,1373.5,1438.8,1373.5,1425,1433.9,2815163,39897.96
03-05-2013,1426,1447.25,1407.9,1420,1418.5,1820895,25986.68
06-05-2013,1420,1472.4,1420,1465.05,1467.2,1863559,27101.26
07-05-2013,1467.1,1478.85,1457.4,1469.3,1471.6,1130090,16593.52
08-05-2013,1472,1487.8,1470,1479.8,1480.1,884065,13090.46
09-05-2013,1483.2,1503.45,1483,1500,1498.45,974850,14604.7
10-05-2013,1498.45,1510.9,1491.1,1494,1495.9,569857,8542.88
11-05-2013,1495,1495,1486.1,1486.7,1489.65,28017,417.35
13-05-2013,1480,1481,1445.7,1451.6,1451.6,931249,13595.24
14-05-2013,1455.1,1470.55,1443.75,1458,1457.95,1125050,16426.46
15-05-2013,1458.1,1477.2,1450,1462,1471.55,1782963,26080.85
16-05-2013,1469,1469,1447.45,1455.8,1454.05,1207826,17555.6
17-05-2013,1455,1478.5,1454.1,1469.05,1473.8,1450100,21289.48
20-05-2013,1471.25,1478,1461,1477.7,1472.4,692752,10169.03
21-05-2013,1465,1502,1465,1493,1492.85,949216,14175.9
22-05-2013,1498,1509.15,1492.3,1496.7,1498.4,923472,13845.75
23-05-2013,1495,1526.75,1478.35,1496,1492.7,1531981,22975.96
24-05-2013,1500,1502.95,1463.6,1472,1469.55,793306,11707.75
27-05-2013,1469.5,1500,1460,1490.55,1498,1011932,15064.74
28-05-2013,1498,1516.5,1490.3,1514.9,1514.1,700127,10533.87
29-05-2013,1516,1527.5,1485.1,1495,1497.35,726019,10938.45
30-05-2013,1500,1512,1487,1508,1499.4,1204173,18062.79
31-05-2013,1491,1509.25,1476.75,1501,1498.45,964934,14451.47
03-06-2013,1504,1507,1457.1,1470,1469.4,1548806,22815
04-06-2013,1460,1473.9,1450.15,1464,1465.35,652660,9543.28
05-06-2013,1461.1,1472.65,1452.7,1472.4,1467.8,864338,12657.47
06-06-2013,1453.7,1478.5,1452.05,1472,1470.75,1270226,18664.16
07-06-2013,1470.1,1539,1468,1522.6,1518.95,1775422,26887.52
10-06-2013,1525.05,1544.7,1519.1,1529.15,1525.05,1680215,25741.58
11-06-2013,1530.2,1542,1492,1494.85,1501.55,1102734,16747.43
12-06-2013,1494.1,1495.1,1462.05,1470.85,1468.1,2402977,35394.54
13-06-2013,1460,1464,1435.1,1439,1445.65,1575671,22834.49
14-06-2013,1448,1457.25,1431,1454,1450.7,1552998,22456.12
17-06-2013,1453,1465,1428,1451.8,1452.45,1292081,18672.05
18-06-2013,1455,1460,1440.15,1442.05,1443.8,1145764,16577.16
19-06-2013,1454.9,1454.9,1423.55,1424.25,1427.7,1069894,15317.4
20-06-2013,1421,1433.15,1399.1,1399.1,1404.5,2086439,29628.32
21-06-2013,1408.8,1431.85,1408,1422,1422.25,1424112,20242.23
24-06-2013,1415,1434.1,1400.1,1412.9,1410.7,944582,13402.39
25-06-2013,1413.5,1427.1,1380.7,1391,1392.3,930274,13152.45
26-06-2013,1396.9,1447.75,1381.05,1446,1437.7,1163244,16548.58
27-06-2013,1447.8,1497,1442,1485,1491.9,1910339,28121.18
28-06-2013,1495,1524.3,1458.2,1521,1518.15,2408548,36104.86
01-07-2013,1512,1516.7,1483.4,1489,1492.35,677326,10128.86
02-07-2013,1493.1,1508.5,1486.65,1500,1500.55,828621,12406.45
03-07-2013,1497.7,1519,1465,1485,1489.8,765453,11417.09
04-07-2013,1490.85,1541,1490,1540,1538.3,958530,14597.26
05-07-2013,1542,1558,1522,1529,1530.2,646506,9962.54
08-07-2013,1528,1535,1500,1507,1506.65,829398,12585.3
09-07-2013,1495.3,1521.75,1495.3,1504.15,1504.9,548663,8270.23
10-07-2013,1510,1526.8,1498,1519,1511.95,661312,9986.91
11-07-2013,1520,1570,1520,1560,1564.55,1167637,18114.57
12-07-2013,1595,1624.8,1579.3,1610,1609.85,1625768,26126.81
15-07-2013,1601.1,1647.3,1599.3,1640,1641.75,1030285,16844.79
16-07-2013,1625,1666.35,1617.6,1647,1649.35,1112493,18362.04
17-07-2013,1645.05,1684.95,1645.05,1675,1678.5,1499625,25110.29
18-07-2013,1680,1692.3,1644,1658.5,1660.4,1722766,28664.03
19-07-2013,1719,1759,1700,1743,1742.8,4275402,74307
22-07-2013,1741,1758.8,1728.3,1747.85,1746.5,1487386,25970.09
23-07-2013,1748,1780.45,1743.6,1750,1749.8,823251,14460.52
24-07-2013,1748.5,1792,1745,1783,1782.8,1090822,19403.55
25-07-2013,1780,1810,1766.7,1788,1795.75,2044404,36508.16
26-07-2013,1795,1798.95,1750.1,1770,1774.5,1189532,21162.32
29-07-2013,1758,1794.6,1757.25,1776.95,1779.2,887131,15782.99
30-07-2013,1780,1804.95,1775.45,1789.6,1792.3,1308742,23486.95
31-07-2013,1790,1831.5,1789.45,1814,1815.5,1413375,25690.97
01-08-2013,1810.05,1834.8,1790,1816,1815.4,1070589,19467.11
02-08-2013,1819.7,1849.9,1816.7,1843,1845.85,923427,17016.66
05-08-2013,1840,1877.4,1840,1864.7,1867.2,1177592,22000.91
06-08-2013,1873,1881.95,1864.65,1871,1870.1,1152645,21571.73
07-08-2013,1874,1890.9,1813.45,1818.95,1822.7,1347490,24938.83
08-08-2013,1805.1,1856.15,1783.7,1846,1845.4,1079314,19747.32
12-08-2013,1841,1841,1808.15,1822,1814,1038787,18888.13
13-08-2013,1820.2,1844.85,1809.95,1820,1819.8,1084148,19800.34
14-08-2013,1824.5,1858,1802,1842,1833.5,1651034,30286.56
16-08-2013,1824.2,1830,1755.55,1779,1780.9,1389965,24872.33
19-08-2013,1798,1807,1755.55,1770,1777.45,1060676,18909.38
20-08-2013,1789.8,1789.8,1730,1739,1736.4,1362422,23768.21
21-08-2013,1740.1,1743.7,1701.15,1720,1717.8,1811997,31155.85
22-08-2013,1705,1797.15,1695.2,1774,1778.95,2130494,36949.49
23-08-2013,1794,1838,1784.3,1822,1829.45,2016442,36608.41
26-08-2013,1823.1,1878.6,1814,1850.05,1842,1331619,24690.29
27-08-2013,1839,1878.85,1830,1838,1838.8,972642,18075.47
28-08-2013,1828,1946.1,1828,1900,1907.9,2222342,42347.1
29-08-2013,1901,1970,1878.3,1930,1947.1,2952591,57285.11
30-08-2013,1939,2050,1930,2030,2033.2,2641471,52996.67
02-09-2013,2020,2069,2017.5,2057,2056.85,1077017,22046.27
03-09-2013,2050.1,2067,1986.15,1989.45,2001.1,1177532,23957.79
04-09-2013,2000,2078.8,1993.95,2075,2069.1,1313258,26984.57
05-09-2013,2069,2069,1981.05,1994,1990.75,1963746,39414.61
06-09-2013,2009,2025,1975,1980,1988.8,1379798,27568.85
10-09-2013,1986,2016.7,1981,1989.95,1987.9,2150486,42890.31
11-09-2013,2008,2018,1983.5,1987.95,1993.8,1504247,30072.23
12-09-2013,1995,1998.55,1945.8,1969,1967.9,952784,18698.29
13-09-2013,1965,1990,1946.55,1961.7,1953.75,1048160,20580.02
16-09-2013,1950,1985,1894.05,1895.6,1902.55,1230253,23596.54
17-09-2013,1900,1952.55,1897.1,1944.3,1947.45,1663908,32102.41
18-09-2013,1942.05,1964.8,1937.9,1951,1954.5,1054909,20600.93
19-09-2013,1948,1990,1926.5,1958,1966.3,1953620,38413.23
20-09-2013,1950,1989.9,1941,1952.3,1950.3,1795929,35295.64
23-09-2013,1950,1977.2,1940,1957,1955.1,1494379,29327.62
24-09-2013,1955,1977.9,1926,1941,1939.5,2470150,48174.63
25-09-2013,1941.5,1970.95,1920.2,1953.25,1959.05,2166929,42087.25
26-09-2013,1954.8,1974.1,1935.1,1942.95,1942.9,2459852,47979.1
27-09-2013,1943.1,1961.95,1937.45,1945.1,1948.1,892333,17411.51
30-09-2013,1954,1961.85,1920,1922.5,1927.8,993675,19308.1
01-10-2013,1932,1954.85,1916.7,1950,1949.05,795997,15472.66
03-10-2013,1971.8,2036.9,1960.4,2024,2024.6,2336177,47186.7
04-10-2013,2032,2069,2026.95,2038.6,2033.6,967016,19837.78
07-10-2013,2035,2097.7,2025.3,2095.75,2089.75,996939,20574.01
08-10-2013,2083,2098,2056.55,2066.05,2061.45,914053,18963.92
09-10-2013,2055.5,2097.65,2045.1,2090.55,2090.85,887929,18388.6
10-10-2013,2088,2098,2067.25,2088,2080,582160,12107.19
11-10-2013,2103,2138,2082.4,2128,2122.05,1142224,24179.67
14-10-2013,2127.5,2225,2125,2218.5,2212.75,2187230,47925.8
15-10-2013,2235,2258.85,2201,2216,2215.4,2332546,52014.07
17-10-2013,2230,2230,2095.7,2099,2108.45,3343607,71793.49
18-10-2013,2104.8,2133.8,2061.55,2119,2120.65,2673083,56260.12
21-10-2013,2125,2127.95,2050,2076.8,2071.65,1842686,38149
22-10-2013,2088,2107.65,2076.85,2088,2089.35,1022307,21388.22
23-10-2013,2088.5,2103,2046.15,2054,2061.15,1227748,25339.77
24-10-2013,2042,2082.35,2001.85,2007.95,2008.7,1808879,36840.83
25-10-2013,1995,2072,1995,2065,2067.75,1263701,25872.81
28-10-2013,2068,2089.8,2052.55,2066,2063.95,901971,18641.76
29-10-2013,2065,2085.8,2047.9,2073.85,2069.8,914538,18884.67
30-10-2013,2070.25,2100,2070.25,2094.7,2091.95,1057437,22095.37
31-10-2013,2089,2129,2079.4,2108,2112.05,1761538,37072.57
01-11-2013,2110,2141.95,2091.1,2096,2097.6,673240,14198.66
03-11-2013,2100,2109.4,2095.2,2099,2099,65452,1375.5
05-11-2013,2100,2105,2031.7,2043.85,2042,1130643,23247.14
06-11-2013,2063,2103.55,2059.05,2093.1,2091.1,833875,17387.59
07-11-2013,2100,2148.15,2080.3,2116,2121.95,978474,20788.94
08-11-2013,2130,2131.75,2071.2,2088.7,2090.85,804673,16879.36
11-11-2013,2090,2140,2050,2099.95,2094.65,980569,20714.29
12-11-2013,2096.85,2121.7,2079,2080,2087.15,500341,10502.62
13-11-2013,2098.95,2106.2,2043.65,2048.8,2049,604169,12506.07
14-11-2013,2072,2072,2021.85,2026.3,2026.2,1064852,21702.16
18-11-2013,2046,2059.9,2032.25,2050,2044,1415801,28993.16
19-11-2013,2049.95,2055,2021.2,2031.95,2029.9,1038932,21108.82
20-11-2013,2046.85,2049.9,2017,2026,2023.6,829348,16890.63
21-11-2013,2023.2,2034.7,1980,1989.95,1986.6,1151441,23067.57
22-11-2013,1991,2011,1985.1,2003.9,2000.85,747247,14942.99
25-11-2013,2008,2026.85,1993.1,2012,2013.25,975499,19603.53
26-11-2013,2003.1,2016.45,1987,1991,1993.7,1023706,20428.66
27-11-2013,2009,2013.7,1975,1979.8,1986.45,1060489,21145.48
28-11-2013,1993.1,1996.55,1970,1986.9,1984.6,1402861,27816.07
29-11-2013,1992,2014.7,1981.8,2005.05,2004.35,962406,19277.39
02-12-2013,1995,2021,1995,2020,2013.9,626630,12598.46
03-12-2013,2016.05,2042,2015.05,2018.85,2020.8,724592,14698.88
04-12-2013,2019.9,2031.6,1993.65,2003.5,2000.05,759518,15294.37
05-12-2013,2016,2033.55,1983.05,1984.8,1987.15,698595,13955.72
06-12-2013,1991,2010,1991,2001,2000.3,723481,14479.22
09-12-2013,2029,2029.95,2000,2002,2004.85,913170,18348.93
10-12-2013,2000,2089,2000,2087,2082.75,1826667,37726.32
11-12-2013,2079,2086.85,2043,2056,2058.05,778031,16021.95
12-12-2013,2045,2064,2025.1,2028,2028.9,827982,16847.26
13-12-2013,2037.95,2045,1995,2007,2001.8,1731675,34888.85
16-12-2013,2013.7,2039.8,2005.15,2020.2,2019.15,1429250,28906.96
17-12-2013,2031.6,2065.85,2030,2045.3,2045.35,1497737,30725.16
18-12-2013,2040,2071,2038,2055.5,2055.8,793995,16349.42
19-12-2013,2075.95,2110,2062.65,2086.1,2081.5,1080993,22553.05
20-12-2013,2088.1,2130,2085.85,2128.15,2120.55,982906,20757.08
23-12-2013,2129.95,2143.45,2097.95,2113.3,2109.05,660612,13974.42
24-12-2013,2119.8,2129,2104.25,2109,2110.7,435078,9210.06
26-12-2013,2115,2117,2091.45,2094,2100.3,1148597,24183.2
27-12-2013,2107,2169.9,2105,2165.15,2160.65,1239973,26600.42
30-12-2013,2170,2175.25,2146.7,2159,2156.05,834388,18022.65
31-12-2013,2160.1,2184.95,2150.9,2174.25,2172.05,622888,13528.32
01-01-2014,2180.1,2184.5,2151.1,2153.7,2153.3,264976,5722.28
02-01-2014,2166,2189,2156.15,2167.95,2167,863474,18745.65
03-01-2014,2164.7,2229.1,2147.25,2224.1,2222.2,1309087,28887.57
06-01-2014,2229,2244,2197,2234.8,2239.6,1155905,25709.41
07-01-2014,2240,2256.45,2199,2207.9,2206.15,1448743,32276.13
08-01-2014,2212,2244,2210,2229.95,2232.65,1275010,28439.55
09-01-2014,2228.75,2255.5,2222.1,2239,2241.95,1291103,28910.57
10-01-2014,2260,2309.8,2235,2290,2280.9,1684667,38360.72
13-01-2014,2285,2384,2285,2380,2368.75,1907158,44724.03
14-01-2014,2372,2384.8,2320,2330,2326.75,1487482,34792.23
15-01-2014,2342.45,2378.2,2327,2361,2353.6,1524427,35878.31
16-01-2014,2380,2380.1,2325,2359,2350.3,1498981,35197.43
17-01-2014,2298,2298,2206.05,2219.85,2213.05,3782378,84858.41
20-01-2014,2218.95,2350,2215.5,2334.9,2338.2,3005279,69055.29
21-01-2014,2334,2339.25,2275.1,2285.25,2280.3,1566141,35974.18
22-01-2014,2287.1,2296.85,2264.1,2270.35,2274.05,1192015,27163.33
23-01-2014,2268.1,2276.7,2237.3,2254.15,2252.45,1145381,25831.4
24-01-2014,2244,2283.25,2235,2249,2248.7,925133,20954.26
27-01-2014,2226,2259.5,2220.1,2237,2229.6,1266474,28350.22
28-01-2014,2232,2247.85,2196.1,2215,2212.35,1426083,31638.27
29-01-2014,2240,2240,2205,2213.05,2209.8,849038,18834.55
30-01-2014,2198.05,2227,2190,2222.25,2217.6,1112625,24515.83
31-01-2014,2225.1,2269.8,2221,2230.95,2241.05,1087123,24483.26
03-02-2014,2222,2244.25,2190.8,2192.7,2194.45,681240,15023.76
04-02-2014,2174,2175,2112.05,2162,2151.35,1347083,28862.2
05-02-2014,2163.8,2200,2140,2196.25,2194.4,926825,20135.85
06-02-2014,2180,2189.9,2145,2169.6,2175.25,961326,20854.36
07-02-2014,2190,2195,2131,2142.9,2144.4,995456,21477.29
10-02-2014,2144,2144,2085.1,2092.55,2093.55,2009635,42318.76
11-02-2014,2100,2126.5,2096,2100,2101.7,1784393,37674.68
12-02-2014,2118,2123.6,2095,2098.8,2105.45,1537174,32461.7
13-02-2014,2107,2138.4,2096.5,2137.9,2133.75,1047175,22250.23
14-02-2014,2137.9,2184.75,2128.1,2163.5,2167.9,955031,20662.92
17-02-2014,2160,2186,2147.2,2164.7,2165.4,835197,18101.53
18-02-2014,2165,2191,2155.85,2161.1,2166,763458,16612.58
19-02-2014,2170,2215,2162.25,2213,2197.95,536459,11719.5
20-02-2014,2206,2222,2182.8,2188.2,2189.35,793962,17499.99
21-02-2014,2198,2213,2190.75,2203,2205.7,858930,18935.82
24-02-2014,2204,2205.25,2170.1,2177.95,2177.9,1225212,26684.91
25-02-2014,2189,2199.5,2180,2186.8,2188.9,1652687,36217.73
26-02-2014,2194,2195,2177.15,2183.95,2182.15,1929856,42138.22
28-02-2014,2161,2280,2160.15,2271.85,2275.75,1994096,44923.55
03-03-2014,2271.8,2299,2228,2232.15,2240.05,803039,18123.4
04-03-2014,2233.2,2254,2224,2240.2,2240.65,1015166,22743.68
05-03-2014,2254.85,2286.25,2242.55,2247.15,2251.9,1151003,26011.9
06-03-2014,2252.85,2260,2232.15,2240,2240.75,657281,14733.8
07-03-2014,2245.5,2250.05,2152.8,2225.05,2228.5,2349236,51649.07
10-03-2014,2228.1,2228.5,2135,2145,2142.65,1914884,41385.81
11-03-2014,2155,2177.65,2122,2155.1,2151.65,1275127,27443.13
12-03-2014,2153,2189.75,2153,2177.05,2179.45,834894,18163.41
13-03-2014,2148.05,2202,2136.85,2146.7,2149.55,1009942,21935.25
14-03-2014,2141,2160.5,2124.3,2138,2139.55,1080623,23143.23
18-03-2014,2135.5,2151.8,2104.25,2113.95,2122,1282921,27297.23
19-03-2014,2075,2075,2013.05,2037.8,2039.4,4326331,87984.31
20-03-2014,2038,2122.9,2011.4,2107,2108.2,2864478,59581.17
21-03-2014,2125,2145,2085,2126,2127,2340388,49562.37
22-03-2014,2125,2141.9,2115.45,2123.25,2128.25,94751,2019.65
24-03-2014,2136.95,2157.95,2126.15,2149.95,2152.6,1091507,23395.91
25-03-2014,2144,2172,2130,2145.2,2146.65,1124984,24184.36
26-03-2014,2148.05,2158.5,2087.55,2100,2093.5,1596175,33712.23
27-03-2014,2100.95,2115,2065.05,2105,2094.25,2506238,52315.9
28-03-2014,2097,2122.85,2080.05,2100.3,2102.1,1485581,31209.07
31-03-2014,2104,2144.95,2082,2139,2133.15,1341634,28341.17
01-04-2014,2145,2185,2144.9,2175.4,2176.7,1377966,29939.67
02-04-2014,2190,2202,2161.05,2164.95,2172.25,1881508,41100.02
03-04-2014,2172.85,2182,2147.6,2170,2166.5,790597,17094.72
04-04-2014,2172,2187,2130,2138,2138.85,847328,18273.57
07-04-2014,2130.1,2165.95,2120.7,2159.75,2153.8,1297493,27789.26
09-04-2014,2152,2162,2105,2135,2140.4,1675250,35632.51
10-04-2014,2140.4,2148.65,2115.2,2125,2126.15,1076443,22918.03
11-04-2014,2118,2174.9,2100,2161.5,2164.1,1170371,24979.23
15-04-2014,2181,2258,2174.05,2254.5,2252.75,1798622,39935.02
16-04-2014,2264,2264,2184.2,2187.95,2196.3,1737955,38383.84
17-04-2014,2220,2227,2142.7,2223.4,2222.9,3840719,84666.65
21-04-2014,2220,2242.9,2211.3,2219.95,2221.75,921297,20487.99
22-04-2014,2233.95,2249.9,2219.9,2222.4,2221.05,743137,16552.05
23-04-2014,2231.4,2243.9,2201.1,2210,2213.75,969496,21501.41
25-04-2014,2227,2235,2193.2,2203.85,2205.25,1580224,34823
28-04-2014,2205.25,2222.7,2180.1,2186.65,2191.35,1275383,28000.13
29-04-2014,2186,2206.35,2176.9,2195,2194.25,923090,20262.4
30-04-2014,2185.1,2205.6,2181,2191,2189.2,1198689,26258
02-05-2014,2181.25,2219.9,2181.25,2208.45,2208.45,958889,21166.25
05-05-2014,2210.8,2229,2204.15,2209.6,2213.7,657239,14594.89
06-05-2014,2213.7,2221.6,2190,2199.5,2198.9,480616,10564.78
07-05-2014,2191.05,2203,2140.1,2165,2165.55,2358091,51068.96
08-05-2014,2165.1,2181.8,2147.65,2155,2162.05,1303450,28164.12
09-05-2014,2152,2184.7,2152,2162,2159.9,899720,19534.98
12-05-2014,2153,2166.7,2123.15,2164.85,2159.35,1443032,30988.63
13-05-2014,2165.8,2239,2165.8,2209,2210.95,1273742,28043.56
14-05-2014,2214.4,2237.7,2201.1,2217.5,2216.1,694614,15410.7
15-05-2014,2216.1,2225,2171.15,2196.75,2193.15,1260098,27608.69
16-05-2014,2200.05,2253.4,2100.25,2160,2160.75,2620899,57209.86
19-05-2014,2150,2160,1999.5,2026,2036.7,3258303,66340.51
20-05-2014,2028,2160,2028,2062,2068.2,2351057,48641.14
21-05-2014,2061.2,2089,2055.8,2083,2082.85,2058473,42722.02
22-05-2014,2096.75,2124,2075.1,2108,2111.95,2108421,44450.7
23-05-2014,2119,2149,2096,2129.85,2127.9,1547390,32901.39
26-05-2014,2149,2169.6,2133.6,2155.05,2154,1325425,28511.63
27-05-2014,2160.15,2184.6,2118,2132,2131.45,897547,19235.39
28-05-2014,2140,2158.75,2122.45,2152,2150.55,943744,20259.39
29-05-2014,2145,2180,2135.2,2163.85,2159.95,1410355,30424.25
30-05-2014,2158.8,2167,2130.15,2144.75,2141.35,1292824,27681.39
02-06-2014,2144,2157.75,2116.05,2133.85,2129.85,547579,11650.89
03-06-2014,2129.85,2138,2105.2,2129.95,2128.6,1242314,26441.25
04-06-2014,2130,2134.9,2077,2088,2089.25,1070531,22367.13
05-06-2014,2083.1,2116.4,2068,2100.15,2104.15,2174235,45498.95
06-06-2014,2100.15,2107.8,2056,2085,2084.25,1680793,34884.15
09-06-2014,2087,2118,2080,2114.95,2113.8,1333098,28119.54
10-06-2014,2115,2160.95,2115,2155.55,2158.15,1314034,28164.77
11-06-2014,2165,2214,2138.2,2204.2,2206.95,1772281,38767.93
12-06-2014,2249,2254,2183.8,2238.1,2237.35,1367169,30391.48
13-06-2014,2238,2239,2185.05,2220,2213.55,952011,21001.51
16-06-2014,2210,2276.95,2210,2270,2269.75,1219953,27588.1
17-06-2014,2284.9,2297,2271,2275,2279.85,959072,21899.17
18-06-2014,2293,2293,2221.3,2221.3,2227.05,974412,21846
19-06-2014,2230,2289,2210.1,2280.15,2276.05,948177,21354.94
20-06-2014,2284.9,2299,2262,2286.2,2292.4,577837,13204.4
23-06-2014,2293,2299.9,2254.05,2260.1,2268.85,631367,14334.11
24-06-2014,2269,2319.5,2255,2314.9,2309.05,739550,16938.05
25-06-2014,2310,2320,2293,2299.9,2310.55,514211,11879.49
26-06-2014,2296,2344.15,2291.15,2304,2307.65,1018091,23544.07
27-06-2014,2317,2406.9,2315,2400.1,2399.55,1529418,36460.94
30-06-2014,2400.55,2435,2376.6,2413.95,2425.4,1073235,25907.6
01-07-2014,2418.9,2419,2382.3,2391.3,2390.75,546395,13093.83
02-07-2014,2400,2411.75,2383.5,2401.1,2401.6,453870,10882.76
03-07-2014,2399,2445,2392,2410,2417.9,763381,18482.64
04-07-2014,2412.4,2425.5,2401,2416.1,2410.5,268068,6467.76
